Label, Value
EUR-DSCON-OIS, EUR
OIS-1M, 1.6924177299772902
OIS-2M, 6.466490608909315E-14
OIS-3M, -0.06272254094748192
OIS-6M, -0.005121548380831428
OIS-1Y, 20.192593397259547
OIS-2Y, 43.728124023779166
OIS-3Y, 65.6007168660689
OIS-4Y, 86.81982923991723
OIS-5Y, 172.87425049739198
OIS-7Y, 232.09507953686497
OIS-10Y, 22.001636688945542
OIS-15Y, -0.0070399496878216965
OIS-20Y, 2.327505723819242E-6
OIS-30Y, 6.269441163418551E-12
EUR-EURIBOR3M-BS, EUR
FIX-3M, -255.61302180312188
FRA-3Mx6M, 0.0026502849774704532
BS-1Y, -0.034157642909971246
BS-2Y, -0.07857780959202451
BS-3Y, 0.08740875739524386
BS-4Y, -0.1025005969405701
BS-5Y, 0.6415049409025062
BS-7Y, -6640.489598547722
BS-10Y, -615.5580477465749
BS-15Y, 0.34017439302918046
BS-20Y, -1.8676202853892894E-4
BS-30Y, -6.573272857992328E-13
EUR-EURIBOR6M-IRS, EUR
FIX-6M, 0.0172385634546442
FRA-6Mx12M, 0.017458350820703652
IRS-2Y, 0.07857780959451212
IRS-3Y, -0.0874087573944189
IRS-4Y, 0.10250059694125703
IRS-5Y, -0.6415049409057141
IRS-7Y, 6640.489598547722
IRS-10Y, 615.5580477465771
IRS-15Y, -0.34017439302873975
IRS-20Y, 1.8676202740796155E-4
IRS-30Y, 1.3958630909046348E-13
